onset	duration	sync_side	response	correct
0.0	9.985680955927819	right	left	False
15.6043860046193	10.030750610399991	right	right	True
31.955742506776005	10.034622955136001	left	left	True
44.25107128173113	9.982571674976498	left	right	False
57.22634736681357	10.029841475188732	right	right	True
69.5241618338041	10.032746633980423	right	right	True
81.93568112002686	9.986686042044312	right	right	True
96.3490124088712	9.977918775752187	right	left	False
108.78517495794222	9.985973257105798	right	right	True
122.13511066278443	10.035354238003492	right	right	True
135.1682333908975	10.029451600741595	right	left	False
149.48886447399855	10.040712640620768	right	right	True
161.79749308293685	10.037796765100211	right	left	False
174.15076904790476	9.983787756878883	right	left	False
186.6621553269215	10.024658570997417	left	right	False
199.42236330965534	10.032882598228753	left	right	False
214.56148388097063	10.030808015726507	right	left	False
228.92916629603133	10.026315551716834	left	right	False
242.5155375637114	9.981337455101311	left	left	True
254.66845895862207	10.036640619393438	right	left	False
267.74703578604385	10.041935980785638	right	left	False
279.5422083279118	10.03655673796311	left	right	False
291.84496632264927	10.032123832963407	left	left	True
306.4272412727587	10.043463429901749	right	left	False
319.24118066206574	10.026304974686354	left	right	False
332.0507086957805	9.991898622829467	left	right	False
344.0418823319487	10.031971032731235	left	left	True
355.8731508278288	10.02534788614139	right	right	True
369.11251949099824	10.026417735032737	left	left	True
381.5574397086166	9.980504484381527	left	left	True
394.1592947267927	10.028608203865588	right	right	True
406.8598795346916	9.98002960300073	left	left	True
420.0240944959223	10.033981607761234	right	left	False
432.4716839357279	9.98598090512678	right	left	False
444.92991757392883	10.031472638715059	left	left	True
457.9893483999185	9.986330362036824	right	left	False
470.5973220267333	10.018230310175568	right	right	True
482.4630718198605	10.031003748066723	left	left	True
494.28523507900536	10.029418401885778	right	left	False
506.31753314100206	10.0329918009229	right	left	False
518.4016074696556	9.979629531037062	right	right	True
530.3275745436549	10.034024802967906	right	right	True
542.6708639329299	10.027534008026123	right	right	True
555.1134766056202	10.026794845238328	right	left	False
567.0414654100314	9.9922029459849	right	left	False
579.1401261519641	9.990613019093871	left	left	True
591.4407692849636	10.033827725797892	right	right	True
603.5352506809868	10.027574365027249	left	right	False
615.505179148633	10.028813405428082	left	left	True
627.691087548621	10.0329416571185	left	right	False
639.6802753047086	10.028153073973954	right	right	True
651.60732968105	9.98364262888208	right	left	False
663.4402544926852	9.98196563217789	left	left	True
675.480366718024	10.023066330701113	right	left	False
687.8675773367286	9.979833981022239	left	right	False
700.0075135510415	9.98747362056747	right	left	False
712.4080144390464	10.036989806685597	left	right	False
725.1647013509646	10.024933967739344	left	left	True
737.1425636210479	9.986706901807338	left	left	True
749.2320822449401	10.037068231962621	right	right	True
761.8385606869124	9.992727167904377	right	left	False
775.3452225527726	9.981921075843275	left	left	True
788.6252372916788	9.975539993029088	left	left	True
802.1635927148163	10.035320993047208	left	right	False
815.7644202648662	10.039090912789106	right	left	False
829.0574783557095	10.018125634174794	right	left	False
842.7920379759744	10.023256033658981	left	left	True
856.2599317589775	9.971337893977761	right	right	True
869.7414811556228	10.035948725417256	left	right	False
883.4293089406565	9.98273233929649	right	left	False
896.6479223179631	10.033280493691564	left	left	True
909.985341575928	10.036873404867947	right	right	True
922.7545530889183	10.0402343547903	left	right	False
936.208116968628	10.029824974015355	right	left	False
949.7400205028243	10.038429875858128	right	left	False
964.5206824960187	9.97983711073175	right	right	True
977.6015490279533	9.977944675832987	left	left	True
990.6748313377611	10.029309946112335	left	left	True
1003.2746428330429	10.029029524885118	right	left	False
1016.2376997689717	9.988658681046218	right	right	True
1029.1648587556556	10.030318272300065	right	left	False
1042.6445945617743	10.03252317989245	left	left	True
1055.7740660887212	10.018501550890505	left	right	False
1069.4942140327767	9.990110835060477	right	left	False
1082.6747057908215	10.029193148948252	left	right	False
1097.045839950908	10.033834863919765	right	right	True
1110.1142409816384	9.970294364262372	left	left	True
1123.7508500698023	10.011636164970696	left	left	True
1136.908028444741	10.02200875710696	left	right	False
1151.6715156808496	10.026158228050917	left	left	True
1165.5729690790176	9.989188702777028	right	right	True
1178.657814011909	10.036128679756075	right	left	False
1190.3863340117969	10.043556294869632	left	right	False
1203.5168646969832	9.975557837635279	right	right	True
1216.9832243309356	9.984701625071466	left	right	False
1229.8121967888437	9.988822991028428	left	left	True
1243.7229939610697	10.034045045729727	right	right	True
1256.6488246396184	10.024956909008324	left	left	True
1269.2999691739678	9.982899189926684	right	right	True
1282.855155770667	10.024709085002542	left	left	True
1296.1770295407623	10.0319334869273	right	left	False
1309.9698894838803	9.977540221996605	left	right	False
1323.0936664217152	10.017778875306249	left	right	False
1336.6671967199072	10.038463167846203	right	left	False
1350.0554015748203	10.035412215162069	left	right	False
1363.9016629569232	9.986749867908657	right	left	False
1375.63933597086	9.991040689870715	left	right	False
1387.3203192120418	10.03186965500936	right	left	False
1399.3544617188163	10.031836966983974	right	left	False
1411.7538022208028	10.045506578870118	right	right	True
1423.5401552459225	10.027083919849247	right	left	False
1436.458781872876	9.979175243992358	right	right	True
1449.012977953069	10.03028038656339	left	left	True
1462.6537720356137	10.033797045238316	right	right	True
1476.612366763875	9.980538970790803	right	left	False
1489.9416786609218	9.986240147147328	right	left	False
1502.087462335825	10.021505552809685	right	left	False
1515.1993637438864	10.026509075891227	right	right	True
1528.166836510878	10.030628634151071	right	left	False
1541.236410121899	10.036696793977171	right	left	False
