"onset","duration","trial","sync_side","key","dominant","subject","session"
0,"n/a","start_rivalry","right","n/a","n/a",1,1
4.1413182169199,"n/a","keypress","right","left","asynchronous",1,1
7.80232228990644,"3.661004072986543","keypress","right","right","synchronous",1,1
12.9990247348323,"5.196702444925904","keypress","right","left","asynchronous",1,1
19.2688324297778,"6.269807694945484","keypress","right","right","synchronous",1,1
23.2523175296374,"3.9834850998595357","keypress","right","left","asynchronous",1,1
27.3437736476772,"4.091456118039787","keypress","right","right","synchronous",1,1
29.10075248871,"1.7569788410328329","keypress","right","left","asynchronous",1,1
29.4739627866074,"0.3732102978974581","keypress","right","right","synchronous",1,1
33.3971491376869,"3.9231863510794938","keypress","right","left","asynchronous",1,1
39.81125973491,"6.414110597223043","keypress","right","right","synchronous",1,1
44.3194054006599,"4.5081456657499075","keypress","right","left","asynchronous",1,1
47.3488982478157,"3.0294928471557796","keypress","right","right","synchronous",1,1
50.5911790048704,"3.2422807570546865","keypress","right","left","asynchronous",1,1
53.0847669430077,"2.4935879381373525","keypress","right","right","synchronous",1,1
54.7272089859471,"1.642442042939365","keypress","right","left","asynchronous",1,1
58.8679669327103,"4.140757946763188","keypress","right","right","synchronous",1,1
62.5322880586609,"3.6643211259506643","keypress","right","left","asynchronous",1,1
64.6057047527283,"2.0734166940674186","keypress","right","right","synchronous",1,1
69.0657693678513,"4.460064615122974","keypress","right","left","asynchronous",1,1
72.5143586266786,"3.448589258827269","keypress","right","right","synchronous",1,1
74.0487470678054,"1.5343884411267936","keypress","right","left","asynchronous",1,1
75.4263510159217,"1.3776039481163025","keypress","right","right","synchronous",1,1
78.0318296495825,"2.605478633660823","keypress","right","left","asynchronous",1,1
82.4960357979871,"4.464206148404628","keypress","right","right","synchronous",1,1
89.2912509925663,"6.795215194579214","keypress","right","left","asynchronous",1,1
94.9198087379336,"5.628557745367289","keypress","right","right","synchronous",1,1
98.5282835266553,"3.608474788721651","keypress","right","left","asynchronous",1,1
102.327655267902,"3.799371741246432","keypress","right","right","synchronous",1,1
106.798521924764,"4.470866656862199","keypress","right","left","asynchronous",1,1
112.158918180969,"5.3603962562046945","keypress","right","right","synchronous",1,1
114.863361083902,"2.704442902933806","keypress","right","left","asynchronous",1,1
121.130172808655,"6.266811724752188","keypress","right","right","synchronous",1,1
123.842612867709,"2.712440059054643","keypress","right","left","asynchronous",1,1
125.487597199623,"1.6449843319132924","keypress","right","right","synchronous",1,1
130.000711805653,"4.513114606030285","keypress","right","left","asynchronous",1,1
134.779294916894,"4.77858311124146","keypress","right","right","synchronous",1,1
139.981800395995,"5.202505479101092","keypress","right","left","asynchronous",1,1
145.401963633951,"5.420163237955421","keypress","right","right","synchronous",1,1
151.408355299849,"6.0063916658982635","keypress","right","left","asynchronous",1,1
152.099187872838,"0.6908325729891658","keypress","right","right","synchronous",1,1
153.056623746641,"0.9574358738027513","keypress","right","left","asynchronous",1,1
156.558593632653,"3.5019698860123754","keypress","right","right","synchronous",1,1
160.595531251747,"4.0369376190938056","keypress","right","left","asynchronous",1,1
166.654640689958,"6.059109438210726","keypress","right","right","synchronous",1,1
170.956605328713,"4.3019646387547255","keypress","right","left","asynchronous",1,1
176.79542793287,"5.838822604157031","keypress","right","right","synchronous",1,1
182.69237877056,"5.896950837690383","keypress","right","left","asynchronous",1,1
188.798945709597,"6.106566939037293","keypress","right","right","synchronous",1,1
198.096771339886,"9.297825630288571","keypress","right","left","asynchronous",1,1
205.105322673917,"7.008551334030926","keypress","right","right","synchronous",1,1
208.500924102962,"3.3956014290452003","keypress","right","left","asynchronous",1,1
211.530554445926,"3.029630342964083","keypress","right","right","synchronous",1,1
211.796270238701,"0.2657157927751541","keypress","right","left","asynchronous",1,1
212.273654523771,"0.4773842850700021","keypress","right","right","synchronous",1,1
216.315190009773,"4.041535486001521","keypress","right","left","asynchronous",1,1
218.177072984632,"1.861882974859327","keypress","right","right","synchronous",1,1
221.041917240713,"2.864844256080687","keypress","right","left","asynchronous",1,1
223.697552072816,"2.6556348321028054","keypress","right","right","synchronous",1,1
223.85689142067,"0.15933934785425663","keypress","right","left","asynchronous",1,1
226.354899425991,"2.498008005321026","keypress","right","right","synchronous",1,1
228.743519887794,"2.3886204618029296","keypress","right","left","asynchronous",1,1
233.097344545648,"4.353824657853693","keypress","right","right","synchronous",1,1
236.49830277497,"3.4009582293219864","keypress","right","left","asynchronous",1,1
239.049158328678,"2.5508555537089705","keypress","right","right","synchronous",1,1
239.635325142648,"0.5861668139696121","keypress","right","left","asynchronous",1,1
239.848136972636,"0.21281182998791337","keypress","right","right","synchronous",1,1
241.278493123595,"1.430356150958687","keypress","right","left","asynchronous",1,1
242.769080501981,"1.490587378386408","keypress","right","right","synchronous",1,1
