onset	duration	trial	sync_side	key	dominant
0.0	n/a	start_rivalry	left	n/a	n/a
1.861664141062647	n/a	keypress	left	left	synchronous
4.782065193168819	2.920401052106172	keypress	left	right	asynchronous
6.216313658282161	1.4342484651133418	keypress	left	left	synchronous
7.966941111255437	1.7506274529732764	keypress	left	right	asynchronous
10.13866700232029	2.1717258910648525	keypress	left	left	synchronous
11.567126224283129	1.4284592219628394	keypress	left	right	asynchronous
12.630250561982393	1.0631243376992643	keypress	left	left	synchronous
13.532304557040334	0.9020539950579405	keypress	left	right	asynchronous
14.80484291817993	1.2725383611395955	keypress	left	left	synchronous
17.509028892964125	2.7041859747841954	keypress	left	right	asynchronous
19.048067403957248	1.539038510993123	keypress	left	left	synchronous
20.21908996300772	1.1710225590504706	keypress	left	right	asynchronous
22.763689367100596	2.544599404092878	keypress	left	left	synchronous
24.51517564803362	1.7514862809330225	keypress	left	right	asynchronous
25.897918396163732	1.3827427481301129	keypress	left	left	synchronous
27.17149927141145	1.273580875247717	keypress	left	right	asynchronous
28.602525043301284	1.4310257718898356	keypress	left	left	synchronous
29.717925870325416	1.115400827024132	keypress	left	right	asynchronous
30.4620290719904	0.7441032016649842	keypress	left	left	synchronous
32.21176419407129	1.7497351220808923	keypress	left	right	asynchronous
33.43116787541658	1.219403681345284	keypress	left	left	synchronous
35.55055457632989	2.11938670091331	keypress	left	right	asynchronous
38.256922346074134	2.706367769744247	keypress	left	left	synchronous
39.37222196906805	1.1152996229939163	keypress	left	right	asynchronous
40.80518060317263	1.4329586341045797	keypress	left	left	synchronous
41.33827320439741	0.5330926012247801	keypress	left	right	asynchronous
42.50692924717441	1.1686560427770019	keypress	left	left	synchronous
44.90717512834817	2.4002458811737597	keypress	left	right	asynchronous
46.500554534140974	1.5933794057928026	keypress	left	left	synchronous
47.722941583022475	1.222387048881501	keypress	left	right	asynchronous
48.41278311703354	0.689841534011066	keypress	left	left	synchronous
49.42539140814915	1.0126082911156118	keypress	left	right	asynchronous
50.114174579270184	0.688783171121031	keypress	left	left	synchronous
51.81208538636565	1.697910807095468	keypress	left	right	asynchronous
52.76545295212418	0.9533675657585263	keypress	left	left	synchronous
54.03875929908827	1.273306346964091	keypress	left	right	asynchronous
55.6301775299944	1.5914182309061289	keypress	left	left	synchronous
56.48099846811965	0.8508209381252527	keypress	left	right	asynchronous
58.28083634702489	1.7998378789052367	keypress	left	left	synchronous
59.70946481637657	1.428628469351679	keypress	left	right	asynchronous
61.3564911140129	1.6470262976363301	keypress	left	left	synchronous
63.48243375821039	2.125942644197494	keypress	left	right	asynchronous
67.78514904016629	4.302715281955898	keypress	left	left	synchronous
69.80502032814547	2.0198712879791856	keypress	left	right	asynchronous
71.66081966320053	1.8557993350550532	keypress	left	left	synchronous
75.53327591018751	3.872456246986985	keypress	left	right	asynchronous
78.03213768731803	2.4988617771305144	keypress	left	left	synchronous
79.67329062102363	1.6411529337055981	keypress	left	right	asynchronous
82.74715724308044	3.073866622056812	keypress	left	left	synchronous
84.60539475595579	1.8582375128753483	keypress	left	right	asynchronous
