"subject","dominant","total_duration"
1,"asynchronous",574.660241033416
1,"synchronous",605.126388460863
2,"asynchronous",619.622727832291
2,"synchronous",563.543821300846
3,"asynchronous",575.723617124837
3,"synchronous",613.85666609928
4,"asynchronous",495.644639715552
4,"synchronous",682.641209342051
5,"asynchronous",577.63623904949
5,"synchronous",605.868786662351
6,"asynchronous",593.819826991297
6,"synchronous",588.3468989674
7,"asynchronous",572.388742494863
7,"synchronous",593.862184192054
8,"asynchronous",585.288408242632
8,"synchronous",577.26763544092
9,"asynchronous",561.447893829085
9,"synchronous",627.021322151646
10,"asynchronous",476.91064370051
10,"synchronous",654.523951965384
11,"asynchronous",531.479967602994
11,"synchronous",648.619838157203
12,"asynchronous",602.319060557056
12,"synchronous",588.340923111886
13,"asynchronous",591.380657027476
13,"synchronous",599.654646729119
14,"asynchronous",575.736425304785
14,"synchronous",605.661211524159
15,"asynchronous",575.824438983109
15,"synchronous",614.036469037179
16,"asynchronous",571.288759062067
16,"synchronous",605.149828725494
17,"asynchronous",586.526700685732
17,"synchronous",596.146080977283
18,"asynchronous",651.033501974773
18,"synchronous",533.770983292256
19,"asynchronous",593.423401498701
19,"synchronous",593.181566792075
20,"asynchronous",616.623339173384
20,"synchronous",568.21721181972
21,"asynchronous",576.95468867477
21,"synchronous",614.539150874596
22,"asynchronous",569.54244463332
22,"synchronous",611.126008125488
23,"asynchronous",576.355379775167
23,"synchronous",614.074095996562
24,"asynchronous",617.925705789588
24,"synchronous",570.574251234997
25,"asynchronous",568.066533172503
25,"synchronous",603.079740551766
26,"asynchronous",561.40599826118
26,"synchronous",621.293660741765
27,"asynchronous",591.878103348427
27,"synchronous",589.068074319046
28,"asynchronous",559.956583115738
28,"synchronous",630.175941584632
29,"asynchronous",608.482083410025
29,"synchronous",581.408227660693
30,"asynchronous",594.162886005361
30,"synchronous",585.629407957196
31,"asynchronous",595.21835688455
31,"synchronous",580.511717200745
32,"asynchronous",595.119323122315
32,"synchronous",589.817337768618
33,"asynchronous",576.314998503309
33,"synchronous",611.847032150254
34,"asynchronous",622.469641986303
34,"synchronous",568.535777629353
35,"asynchronous",603.833804759197
35,"synchronous",585.73891322501
36,"asynchronous",592.609632588923
36,"synchronous",590.789240706712
37,"asynchronous",605.70762287546
37,"synchronous",566.953258978203
38,"asynchronous",581.707240550779
38,"synchronous",610.038414699957
39,"asynchronous",586.657048872672
39,"synchronous",596.573417708278
40,"asynchronous",584.455911084078
40,"synchronous",593.21259801276
41,"asynchronous",568.11802412942
41,"synchronous",617.23744490277
42,"asynchronous",630.048568041064
42,"synchronous",554.429688340053
44,"asynchronous",590.69535288401
44,"synchronous",588.170817627572
45,"asynchronous",573.430085815489
45,"synchronous",613.078660420142
46,"asynchronous",588.838073589839
46,"synchronous",593.552491447888
47,"asynchronous",592.772937456146
47,"synchronous",600.992271459661
48,"asynchronous",585.407553492114
48,"synchronous",587.584505066276
49,"asynchronous",619.778298130259
49,"synchronous",564.67407248076
50,"asynchronous",578.082589030266
50,"synchronous",609.370103415102
51,"asynchronous",601.947454975918
51,"synchronous",578.422476271167
52,"asynchronous",613.688361363485
52,"synchronous",574.493714904413
55,"asynchronous",493.771314285696
55,"synchronous",678.336538532749
57,"asynchronous",595.97206262406
57,"synchronous",577.052770299837
58,"asynchronous",579.024122758768
58,"synchronous",612.58845941443
